"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jun 26 23:37:35 GMT 2022","Sun Jun 26 23:37:35 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidName","Must try create a new simulation with invalid name.",""
"passed","Sun Jun 26 23:37:32 GMT 2022","Sun Jun 26 23:37:33 GMT 2022","795","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxValue","Must try create a new simulation with invalid max value.",""
"skipped","Sun Jun 26 23:37:23 GMT 2022","Sun Jun 26 23:37:23 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithDuplicatedCpf","Must validate an CPF duplication",""
"passed","Sun Jun 26 23:37:19 GMT 2022","Sun Jun 26 23:37:21 GMT 2022","1642","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","getOneSimulation","Should validate the simulation schema for GET method",""
"passed","Sun Jun 26 23:37:36 GMT 2022","Sun Jun 26 23:37:37 GMT 2022","766","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithRestriction","Must get a CPF with restriction",""
"passed","Sun Jun 26 23:37:29 GMT 2022","Sun Jun 26 23:37:30 GMT 2022","1130","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinInstallments","Must try create a new simulation with invalid min number of installments.",""
"passed","Sun Jun 26 23:37:39 GMT 2022","Sun Jun 26 23:37:39 GMT 2022","758","","restrictions.RestrictionsContractTest","","restrictions.RestrictionsContractTest","contractOnValidCPF","Must validate the restrictions schema for GET method with a valid cpf",""
"passed","Sun Jun 26 23:37:24 GMT 2022","Sun Jun 26 23:37:25 GMT 2022","795","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidEmail","Must try create a new simulation with invalid email.",""
"passed","Sun Jun 26 23:37:21 GMT 2022","Sun Jun 26 23:37:22 GMT 2022","803","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByNameNotFound","Must filter by name a non-existing simulation",""
"skipped","Sun Jun 26 23:37:25 GMT 2022","Sun Jun 26 23:37:25 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMinValue","Must try create a new simulation with invalid min value.",""
"passed","Sun Jun 26 23:37:28 GMT 2022","Sun Jun 26 23:37:29 GMT 2022","784","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationSuccessfully","Must create a new simulation.",""
"passed","Sun Jun 26 23:37:14 GMT 2022","Sun Jun 26 23:37:18 GMT 2022","3862","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationNotFound","Should validate the simulation schema for non-existing simulation",""
"skipped","Sun Jun 26 23:37:21 GMT 2022","Sun Jun 26 23:37:21 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","createNewSimulationWithInvalidMaxInstallments","Must try create a new simulation with invalid max number of installments.",""
"passed","Sun Jun 26 23:37:37 GMT 2022","Sun Jun 26 23:37:38 GMT 2022","693","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfIncomplete","Must get a CPF incomplete",""
"passed","Sun Jun 26 23:37:25 GMT 2022","Sun Jun 26 23:37:28 GMT 2022","2618","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnOneExistingSimulation","Must validate one existing simulation",""
"skipped","Sun Jun 26 23:37:23 GMT 2022","Sun Jun 26 23:37:23 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnSimulationByName","Must find a simulation filtered by name",""
"skipped","Sun Jun 26 23:37:30 GMT 2022","Sun Jun 26 23:37:30 GMT 2022","0","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationThatNotExists","Must validate the return when a non-existent simulation is sent",""
"passed","Sun Jun 26 23:37:38 GMT 2022","Sun Jun 26 23:37:39 GMT 2022","693","","restrictions.RestrictionsFunctionalTest","","restrictions.RestrictionsFunctionalTest","cpfWithNoRestriction","Must get a CPF without restriction",""
"passed","Sun Jun 26 23:37:33 GMT 2022","Sun Jun 26 23:37:35 GMT 2022","1912","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","returnAllExistingSimulations","Must validate all existing simulations",""
"passed","Sun Jun 26 23:37:35 GMT 2022","Sun Jun 26 23:37:36 GMT 2022","1609","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationInvalidData","Must update an existing simulation with all invalid data",""
"passed","Sun Jun 26 23:37:30 GMT 2022","Sun Jun 26 23:37:32 GMT 2022","2223","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","deleteSimulationSuccessfully","Must delete an existing simulation and validate exclusion",""
"passed","Sun Jun 26 23:37:23 GMT 2022","Sun Jun 26 23:37:24 GMT 2022","1770","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationSuccessfully","Must update an existing simulation",""
"passed","Sun Jun 26 23:37:18 GMT 2022","Sun Jun 26 23:37:19 GMT 2022","1309","","simulations.SimulationsContractTest","","simulations.SimulationsContractTest","simulationWithMissingInformation","Should validate the simulation schema for missing information",""
"passed","Sun Jun 26 23:37:22 GMT 2022","Sun Jun 26 23:37:23 GMT 2022","769","","simulations.SimulationsFunctionalTest","","simulations.SimulationsFunctionalTest","changeSimulationCpfNotFound","Must validate the return of an update for a non-existent CPF",""
